Folder,Items,Description,Version,Pattern,Url
Kexts,AirportBrcmFixup.kext,Broadcom Wi-Fi driver,latest,.*RELEASE,https://github.com/acidanthera/AirportBrcmFixup
Kexts,AppleALC.kext,Native macOS HD audio,latest,.*RELEASE,https://github.com/acidanthera/AppleALC
Kexts,BrcmBluetoothInjector.kext+BrcmFirmwareData.kext+BrcmPatchRAM3.kext,Broadcom Bluetooth driver,latest,.*RELEASE,https://github.com/acidanthera/BrcmPatchRAM
#Kexts,BT4LEContinuityFixup.kext,Enable BlueTooth continuity features,latest,.*RELEASE,https://github.com/acidanthera/BT4LEContinuityFixup
Kexts,CPUFriend.kext,Dynamic CPU power management,latest,.*RELEASE,https://github.com/acidanthera/CPUFriend
Kexts,FakePCIID.kext+FakePCIID_Intel_HDMI_Audio.kext,Prevent audio losting,latest,.*,https://bitbucket.org/RehabMan/os-x-fake-pci-id
Kexts,Lilu.kext,Arbitrary kext and process patching,latest,.*RELEASE,https://github.com/acidanthera/Lilu
Kexts,NoTouchID.kext,Disable TouchID,latest,.*RELEASE,https://github.com/al3xtjames/NoTouchID
Kexts,VirtualSMC.kext+SMCBatteryManager.kext+SMCProcessor.kext,SMC emulator layer,latest,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,VoodooI2C.kext+VoodooI2CHID.kext,I2C controller,latest,^(?!.*Debug),https://github.com/alexandred/VoodooI2C
Kexts,VoodooPS2Controller.kext,PS/2 controller,latest,.*RELEASE,https://github.com/acidanthera/VoodooPS2
Kexts,WhateverGreen.kext,Patches for GPUs,latest,.*RELEASE,https://github.com/acidanthera/WhateverGreen
Drivers,ApfsDriverLoader.efi+VBoxHfs.efi,UEFI drivers for Apple environment support,latest,.*RELEASE,https://github.com/acidanthera/AppleSupportPkg
OC/Drivers,FwRuntimeServices.efi,UEFI drivers for Apple environment support,latest,.*RELEASE,https://github.com/acidanthera/AppleSupportPkg
CLOVER/drivers/UEFI,AptioMemoryFix.efi,Correct memory map,latest,.*RELEASE,https://github.com/acidanthera/AptioFixPkg
CLOVER/,CLOVERX64.efi,Bootloader for macOS,latest,CLOVERX64.efi,https://github.com/CloverHackyColor/CloverBootloader
OC/,OpenCore.efi,OpenCore bootloader,latest,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
